CITY,DISTRICT,NEIGHBOURHOOD,AIR CONDITIONING,FURNISHED,CAR PARK,CENTRAL HEATING,GAS COMBI,UNDERFLOOR HEATING,UNDERFLOOR COOLING,REALTOR FEE,TOTAL FLOORS,COMPLETION DATE,SUBTYPE,PROPERTY SIZE,STOREYS,BEDROOM,BATHROOM,BALCONY,FLOOR,PRICE
Antalya,Muratpaşa,Sinan,1,0,0,0,0,0,0,FREE,5,12 / 2025,Ground Floor,58.0,1,1,1,1,,116.0
Antalya,Muratpaşa,Sinan,1,0,0,0,0,0,0,FREE,5,12 / 2025,Middle Floor,58.0,1,1,1,1,,122.0
Antalya,Muratpaşa,Sinan,1,0,0,0,0,0,0,FREE,5,12 / 2025,Penthouse,116.0,2,2,2,2,,251.0
Antalya,Kepez,Çankaya,1,0,0,0,0,0,0,FREE,6,1 / 2025,Middle Floor,155.0,1,3,2,1,,713.0
Antalya,Kepez,Çankaya,1,0,0,0,0,0,0,FREE,6,1 / 2025,Middle Floor,170.0,1,4,2,2,,746.0
İstanbul,Şişli,Fulya,1,0,0,0,0,0,0,FREE,15,2 / 2025,Middle Floor,44.0,1,Studio,1,,4,333.0
Antalya,Döşemealtı,Yeşilbayır,1,0,0,0,1,1,0,FREE,3,12 / 2024,Ground Floor,170.0,1,4,2,2,,597.0
Antalya,Döşemealtı,Düzlerçamı,1,0,0,0,0,1,0,FREE,2,6 / 2024,Detached Villa,271.0,2,6,3,1,,1260.0
Antalya,Kepez,Göçerler,1,0,0,0,0,0,0,FREE,6,12 / 2024,Middle Floor,92.0,1,2,1,1,,350.0
Antalya,Kepez,Gülveren,1,0,0,0,1,1,0,FREE,9,11 / 2023,Middle Floor,90.0,1,2,2,1,,504.0
Antalya,Kepez,Gülveren,1,0,0,0,1,1,0,FREE,9,11 / 2023,Middle Floor,120.0,1,3,2,1,,690.0
Antalya,Serik,Kadriye,1,0,0,0,0,0,0,FREE,3,8 / 2024,Detached Villa,277.0,3,4,4,3,,550.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,0,0,FREE,2,6 / 2024,Shop,700.0,1,Studio,,,,2405.0
Antalya,Aksu,Altıntaş,1,0,1,0,0,0,0,FREE,,6 / 2024,Shop,440.0,2,Studio,,,,849.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,8,9 / 2024,Ground Floor,65.0,1,1,1,1,,127.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,8,9 / 2024,Middle Floor,70.0,1,1,1,1,4,133.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,8,9 / 2024,Ground Floor,120.0,1,2,2,2,,172.0
Antalya,Aksu,Altıntaş,1,0,0,0,0,1,0,FREE,8,9 / 2024,Middle Floor,95.0,1,2,2,2,2,176.0
Bursa,Nilüfer,Çamlıca,0,0,1,0,1,1,0,FREE,3,6 / 2024,Detached Villa,500.0,3,6,4,3,1,1075.0
Antalya,Serik,Kadriye,1,1,1,0,0,0,0,%2,2,1 / 1998,Semi-Detached Villa,220.0,2,3,3,1,,260.0
İstanbul,Arnavutköy,Anadolu,0,0,0,1,1,0,0,%2,3,2 / 2018,Duplex,206.0,2,5,4,2,3,139.0
İstanbul,Esenyurt,Zafer,1,1,0,0,1,0,0,%2,38,1 / 2022,Middle Floor,147.0,1,3,2,1,1,140.0
İzmir,Çeşme,İsmet İnönü,0,1,0,0,0,0,0,%2,2,8 / 2015,Detached Villa,120.0,2,3,3,1,1,790.0
Bursa,Nilüfer,Gümüştepe,1,0,1,0,1,1,0,%2,3,4 / 2024,Detached Villa,309.0,3,4,3,1,1,653.0
Antalya,Konyaaltı,Hurma,1,0,0,0,0,1,0,FREE,4,8 / 2024,Ground Floor,75.0,2,2,1,1,,190.0
